title,theme,status,workDate,endWorkDate,pubDate,mediumURL,liPubDate,linkedinURL,canonicalSite,blogURL,blogPath,cartoon,chatDate,draftPath,notes,altText,caption
The RAG Revelation: When Your Prototype Answers Back,building,distributed,2025-05-29,,2025-07-08,https://medium.com/building-piper-morgan/the-rag-revelation-when-your-proof-of-concept-answers-back-cc7f4b96b621,2025-07-09,https://www.linkedin.com/pulse/rag-revelation-when-your-proof-concept-answers-back-crumlish-udcec/,distributed,https://pipermorgan.ai/blog/the-rag-revelation,/blog/the-rag-revelation,,,,,"A robot holding a worn cloth, piecing together retrieved context to make a prototype that finally answers back.",
From Research Question to Working Prototype: Building an AI PM Assistant from Scratch,building,distributed,2025-05-29,,2025-07-09,https://medium.com/building-piper-morgan/from-research-question-to-working-prototype-building-an-ai-pm-assistant-from-scratch-bb06005611cb,2025-07-10,https://www.linkedin.com/pulse/from-research-question-working-prototype-building-ai-pm-crumlish-fixac/,distributed,https://pipermorgan.ai/blog/from-research-question-to-working-prototype,/blog/from-research-question-to-working-prototype,,,,,"A robot assembling a kit from individual parts, moving from an open question to a functional first prototype.",
From CLI to GitHub Integration: When Prototypes Meet Real Workflows,building,distributed,2025-05-29,,2025-07-10,https://medium.com/building-piper-morgan/from-cli-to-web-app-when-prototypes-meet-real-workflows-c7207687f711,2025-07-11,https://www.linkedin.com/pulse/from-command-line-web-app-when-prototypes-meet-real-crumlish-prsgc/,distributed,https://pipermorgan.ai/blog/from-cli-to-github-integration,/blog/from-cli-to-github-integration,,,,,"A robot broadcasting from a screen, showing a command-line tool stepping up into a live production workflow.",
The $0 Bootstrap Stack: Building Enterprise Infrastructure for Free (With Upgrade Paths),building,distributed,2025-06-01,,2025-07-11,https://medium.com/building-piper-morgan/the-0-bootstrap-stack-building-enterprise-infrastructure-for-free-with-upgrade-paths-078e056a87e4,2025-07-14,https://www.linkedin.com/pulse/0-bootstrap-stack-building-enterprise-infrastructure-free-crumlish-1hgzc/,distributed,https://pipermorgan.ai/blog/the-0-bootstrap-stack,/blog/the-0-bootstrap-stack,,,,,"A robot assembling infrastructure from salvaged parts, building something substantial from nothing.",
Domain-First Development: Actually Building What We Designed,building,distributed,2025-06-02,,2025-07-11,https://medium.com/building-piper-morgan/domain-first-development-actually-building-what-we-designed-647704d46558,2025-07-16,https://www.linkedin.com/pulse/domain-first-development-actually-building-what-we-christian-crumlish-1meic/,distributed,https://pipermorgan.ai/blog/domain-first-development,/blog/domain-first-development,,,,,"A robot at a construction site, working from blueprints to build exactly what was originally designed.",
The Architectural Reckoning: When Three Experts Agree You Should Start Over,insight,distributed,2025-05-29,,2025-07-11,https://medium.com/building-piper-morgan/the-architectural-reckoning-when-three-experts-agree-you-should-start-over-1f9581a41633,2025-07-12,https://www.linkedin.com/pulse/architectural-reckoning-when-three-experts-agree-you-should-crumlish-hoyoc/,distributed,https://pipermorgan.ai/blog/the-architectural-reckoning,/blog/the-architectural-reckoning,,,,,"Three robots in conference, each independently arriving at the same verdict: start the design over.",
From Task Executor to Problem Solver (comes befofe Domain-First Dev),building,distributed,2025-06-02,,2025-07-12,https://medium.com/building-piper-morgan/from-task-executor-to-problem-solver-13896a87b7a9,2025-07-15,https://www.linkedin.com/pulse/from-task-executor-problem-solver-christian-crumlish-yha5c/,distributed,https://pipermorgan.ai/blog/from-task-executor-to-problem-solver,/blog/from-task-executor-to-problem-solver,,,,,"A robot pausing at a maze junction, shifting from following instructions to reasoning about the path.",
The Question That Started Everything,insight,distributed,2025-05-27,,2025-07-13,https://medium.com/building-piper-morgan/the-question-that-started-everything-5a69f9a2af0b,2025-07-13,https://www.linkedin.com/pulse/question-started-everything-christian-crumlish-18dwc/,distributed,https://pipermorgan.ai/blog/the-question-that-started-everything,/blog/the-question-that-started-everything,,,,,"A robot pausing mid-thought, posed with a raised hand, holding an unanswered question.",
Building AI That Actually Thinks About Product Work,building,distributed,2025-06-02,,2025-07-14,https://medium.com/building-piper-morgan/building-ai-that-actually-thinks-about-product-work-4c04e304a3a7,2025-07-17,https://www.linkedin.com/pulse/building-ai-actually-thinks-product-work-christian-crumlish-qxg4c/,distributed,https://pipermorgan.ai/blog/building-ai-that-actually-thinks-about,/blog/building-ai-that-actually-thinks-about,,,,,"A robot conductor raising a baton to coordinate an ensemble, representing AI orchestrating product thinking.",
Persistence of Memory: AI Can't Learn without It,building,distributed,2025-06-02,,2025-07-15,https://medium.com/building-piper-morgan/persistence-of-memory-ai-cant-learn-without-it-d9f839597278,2025-07-18,https://www.linkedin.com/pulse/persistence-memory-ai-cant-learn-without-christian-crumlish-3rsle/,distributed,https://pipermorgan.ai/blog/persistence-of-memory,/blog/persistence-of-memory,,,,,"A robot arranging memory cards in careful sequence, building the continuity an AI needs to learn across sessions.",
Modeling What PMs Do for Piper,building,distributed,2025-06-07,,2025-07-16,https://medium.com/building-piper-morgan/modeling-what-pms-do-for-piper-f6d7fac93e1f,2025-07-19,https://www.linkedin.com/pulse/modeling-what-pms-do-piper-christian-crumlish-msiec/,distributed,https://pipermorgan.ai/blog/modeling-what-pms-do-for-piper,/blog/modeling-what-pms-do-for-piper,,,,,"A robot constructing a small birdhouse with care, modeling the structured habitat a product manager builds for an AI to inhabit.",
Small Scripts Win: Building Knowledge That Actually Knows Things,building,distributed,2025-06-08,,2025-07-17,https://medium.com/building-piper-morgan/small-scripts-win-building-knowledge-that-actually-knows-things-360bd682551e,2025-07-21,https://www.linkedin.com/pulse/small-scripts-win-building-knowledge-actually-knows-things-crumlish-s9e0c/,distributed,https://pipermorgan.ai/blog/small-scripts-win,/blog/small-scripts-win,,,,,"A robot tapping its temple knowingly, representing knowledge embedded in focused, purposeful scripts.",
From Architecture Drift to Working AI,building,distributed,2025-06-15,,2025-07-18,https://medium.com/building-piper-morgan/from-architecture-drift-to-working-ai-201f17c5cfbf,2025-07-22,https://www.linkedin.com/pulse/from-architecture-drift-working-ai-christian-crumlish-shdaf/,distributed,https://pipermorgan.ai/blog/from-architecture-drift-to-working-ai,/blog/from-architecture-drift-to-working-ai,,,,,"A robot reassembling a simple toy, returning an overcomplicated system to something that actually works.",
7/16 to 7/18: The Cascade Effect: How Testing the UI Led to Architectural Discoveries,building,distributed,2025-06-23,,2025-07-19,https://medium.com/building-piper-morgan/the-cascade-effect-how-testing-the-ui-led-to-architectural-discoveries-0b19d8a13665,2025-07-30,https://www.linkedin.com/pulse/cascade-effect-how-testing-ui-led-architectural-christian-crumlish-bzzuc,distributed,https://pipermorgan.ai/blog/716-to-718,/blog/716-to-718,,,,,"A robot mending broken pottery with gold seams, finding structural insights in the act of repair.",
Day Zero or Deja Zero: When Chaos Became a Claude Project,insight,distributed,2025-06-23,,2025-07-20,https://medium.com/building-piper-morgan/day-zero-or-d%C3%A9j%C3%A0-zero-when-chaos-became-a-claude-project-2965731c90bc,2025-07-20,https://www.linkedin.com/pulse/day-zero-d%C3%A9j%C3%A0-when-chaos-became-claude-project-christian-crumlish-d2s8c/?trackingId=FglxyedwQ%2FCaVP6d9HIo6Q%3D%3D,distributed,https://pipermorgan.ai/blog/day-zero-or-deja-zero,/blog/day-zero-or-deja-zero,,,,,"A robot settling into a fresh office setup, beginning again with structure where chaos had been.",
The Integration Reality Check,building,distributed,2025-06-24,,2025-07-21,https://medium.com/building-piper-morgan/the-integration-reality-check-72145777c406,2025-07-31,https://www.linkedin.com/pulse/integration-reality-check-christian-crumlish-kwz1c/,distributed,https://pipermorgan.ai/blog/the-integration-reality-check,/blog/the-integration-reality-check,,,,,"A robot connecting two separate systems with a cable, discovering what actually works when parts meet.",
7/20: When Multiple AIs Can Still Drift Together,building,distributed,2025-06-15,,2025-07-22,https://medium.com/building-piper-morgan/when-multiple-ais-can-still-drift-together-0caeeadf7ef5,2025-07-23,https://www.linkedin.com/pulse/when-multiple-ais-drift-together-christian-crumlish-apoxc/?trackingId=H4vYgfRtR5CUfsSz8E0qIg%3D%3D,distributed,https://pipermorgan.ai/blog/when-multiple-ais-can-still-drift-together,/blog/when-multiple-ais-can-still-drift-together,,,,,"Multiple robots skating in formation, drifting off-course together despite moving in sync.",
7/22: When Architecture Principles Trump Tactical Convenience,building,distributed,2025-06-16,,2025-07-23,https://medium.com/building-piper-morgan/when-architecture-principles-trump-tactical-convenience-7d71c9e5316d,2025-07-24,https://www.linkedin.com/pulse/when-architecture-principles-trump-tactical-christian-crumlish-lmmpc/,distributed,https://pipermorgan.ai/blog/when-architecture-principles-trump-tactical-convenience,/blog/when-architecture-principles-trump-tactical-convenience,,,,,A robot steering a sailboat by fixed stars rather than taking the nearest shortcut across the water.,
7/20: Digging Out of the Complexity Hole,building,distributed,2025-06-17,,2025-07-24,https://medium.com/building-piper-morgan/digging-out-of-the-complexity-hole-117b25fa6bae,2025-07-25,https://www.linkedin.com/pulse/digging-out-complexity-hole-christian-crumlish-l97yc/,distributed,https://pipermorgan.ai/blog/digging-out-of-the-complexity-hole,/blog/digging-out-of-the-complexity-hole,,,,,"A robot digging upward through layered soil, working systematically out of an accumulated complexity trap.",
7/20: Successful Prototype Syndrome,building,distributed,2025-06-19,,2025-07-24,https://medium.com/building-piper-morgan/successful-prototype-syndrome-34c725384254,2025-07-28,https://www.linkedin.com/pulse/successful-prototype-syndrome-christian-crumlish-akinc/,distributed,https://pipermorgan.ai/blog/successful-prototype-syndrome,/blog/successful-prototype-syndrome,,,,,"A robot reclining with unearned confidence, embodying the trap of early prototype success.",
When Your Docs Lie,building,distributed,2025-06-21,2025-06-22,2025-07-25,https://medium.com/building-piper-morgan/when-your-docs-lie-98ad7b8cefd0,2025-07-29,https://www.linkedin.com/pulse/when-your-docs-lie-christian-crumlish-vmurc/,distributed,https://pipermorgan.ai/blog/when-your-docs-lie,/blog/when-your-docs-lie,,,,,"Two robots consulting a document that contradicts observable reality, highlighting documentation that misleads rather than guides.",
When TDD Saves Your Architecture,building,distributed,2025-06-25,,2025-07-25,https://medium.com/building-piper-morgan/when-tdd-saves-your-architecture-ca9c8039b20d,2025-08-01,https://www.linkedin.com/pulse/when-tdd-saves-your-architecture-christian-crumlish-wzipc/,distributed,https://pipermorgan.ai/blog/when-tdd-saves-your-architecture,/blog/when-tdd-saves-your-architecture,,,,,"A robot in a heroic stance, test-driven discipline rescuing a fragile system from collapse.",
Naming Piper Morgan,insight,distributed,2025-05-29,,2025-07-26,https://medium.com/building-piper-morgan/naming-piper-morgan-9efacddc4804,2025-07-26,https://www.linkedin.com/pulse/naming-piper-morgan-christian-crumlish-gmdvc/,distributed,https://pipermorgan.ai/blog/naming-piper-morgan,/blog/naming-piper-morgan,,,,,"A robot raising a champagne glass in celebration, marking the moment a project earns its name.",
7/22: Keeping Your AI Project on Track: Lessons from Building a Product Management Assistant,insight,distributed,2025-06-14,,2025-07-27,https://medium.com/building-piper-morgan/keeping-your-ai-project-on-track-lessons-from-building-a-product-management-assistant-32c8ed94248d,2025-07-27,https://www.linkedin.com/pulse/keeping-your-ai-project-track-lessons-from-building-product-crumlish-vcrrc/,distributed,https://pipermorgan.ai/blog/keeping-your-ai-project-on-track-lessons-from-building-a-product-management-assistant,/blog/keeping-your-ai-project-on-track-lessons-from-building-a-product-management-assistant,,,,,"A robot mushing a dogsled team, steering an AI project through demanding terrain.",
The 48-hour rollercoaster: from working tests to ‘Failed attempt’ and back to ‘LIFE SAVER !!!”’,building,distributed,2025-06-26,,2025-07-28,https://medium.com/building-piper-morgan/the-48-hour-rollercoaster-from-working-tests-to-failed-attempt-and-back-to-life-saver-b4d9193ec579,2025-08-04,https://www.linkedin.com/pulse/48-hour-rollercoaster-from-working-tests-failed-attempt-crumlish-fysac/,distributed,https://pipermorgan.ai/blog/the-48-hour-rollercoaster,/blog/the-48-hour-rollercoaster,,,,,"A robot riding a steep rollercoaster, arms out, swinging between failure and triumphant recovery in two days.",
7/20: The Technical Debt Reckoning,building,distributed,2025-06-26,,2025-07-28,https://medium.com/building-piper-morgan/the-technical-debt-reckoning-160bc294b0b5,2025-08-05,https://www.linkedin.com/pulse/technical-debt-reckoning-christian-crumlish-cacbc/?published=t,distributed,https://pipermorgan.ai/blog/the-technical-debt-reckoning,/blog/the-technical-debt-reckoning,,,,,"A robot sprouting an awkward third arm, embodying the unwieldy workarounds that accumulate as technical debt.",
7/20: When Your Tests Tell You What Your Code Should Do,building,distributed,2025-06-27,,2025-07-29,https://medium.com/building-piper-morgan/when-your-tests-tell-you-what-your-code-should-do-c00a94c09c2c,2025-08-06,https://www.linkedin.com/pulse/when-your-tests-tell-you-what-code-should-do-christian-crumlish-9qtzc/,distributed,https://pipermorgan.ai/blog/when-your-tests-tell-you-what-your-code-should-do,/blog/when-your-tests-tell-you-what-your-code-should-do,,,,,A robot at the wheel navigating by the route the tests have already mapped out ahead of the code.,
7/20: Following Your Own Patterns,building,distributed,2025-06-27,,2025-07-29,https://medium.com/building-piper-morgan/following-your-own-patterns-0822585cb51a,2025-08-07,https://www.linkedin.com/pulse/following-your-own-patterns-christian-crumlish-jjinc/,distributed,https://pipermorgan.ai/blog/following-your-own-patterns,/blog/following-your-own-patterns,,,,,"A robot navigating by starlight, using self-established patterns rather than borrowed maps.",
7/22: Battle-Testing GitHub Integration: When Recovery Becomes Learning,building,distributed,2025-06-29,,2025-07-29,https://medium.com/building-piper-morgan/battle-testing-your-architecture-when-recovery-becomes-learning-5243027aa9f6,2025-08-11,https://www.linkedin.com/pulse/battle-testing-your-architecture-when-recovery-christian-crumlish-ylbcc/,distributed,https://pipermorgan.ai/blog/battle-testing-github-integration-when-recovery-becomes-learning,/blog/battle-testing-github-integration-when-recovery-becomes-learning,,,,,"A robot holding a patched balloon aloft, showing how integration failures become lessons that hold up.",
The Real Bugs Live in the UI (A Testing Reality Check),building,distributed,2025-07-01,,2025-07-30,https://medium.com/building-piper-morgan/the-real-bugs-live-in-the-ui-a-testing-reality-check-336d98a417e4,2025-08-12,https://www.linkedin.com/pulse/real-bugs-live-ui-testing-reality-check-christian-crumlish-fihkc/,distributed,https://pipermorgan.ai/blog/the-real-bugs-live-in-the,/blog/the-real-bugs-live-in-the,,,,,"A robot swatting an oversized mosquito, representing bugs that lurk in the user interface.",
The Day We Stopped Fighting the System,building,distributed,2025-07-03,,2025-07-30,https://medium.com/building-piper-morgan/the-day-we-stopped-fighting-the-system-or-how-i-stopped-worrying-and-learned-to-love-synthesis-7fc3aadc2a3b,2025-08-13,https://www.linkedin.com/pulse/day-we-stopped-fighting-system-christian-crumlish-fba6f/,distributed,https://pipermorgan.ai/blog/the-day-we-stopped-fighting-the,/blog/the-day-we-stopped-fighting-the,Claude's POV!,,,,"A first-person view from an AI's perspective, looking outward at the system it finally agreed to work within.",
The Day We Taught Piper to Summarize (Almost),building,distributed,2025-07-04,,2025-07-30,https://medium.com/building-piper-morgan/the-day-we-taught-piper-to-summarize-almost-437a3ec04316,2025-08-14,https://www.linkedin.com/pulse/day-we-taught-piper-summarize-almost-christian-crumlish-adpqc/,distributed,https://pipermorgan.ai/blog/the-day-we-taught-piper-to,/blog/the-day-we-taught-piper-to,,,,,"A robot with blank expression and empty hands, reflecting an AI struggling to hold new information.",
The Zeno's Paradox of Debugging: A Weekend with Piper Morgan,building,distributed,2025-07-06,,2025-07-31,https://medium.com/building-piper-morgan/the-zenos-paradox-of-debugging-a-weekend-with-piper-morgan-03c685be122a,2025-08-15,https://www.linkedin.com/pulse/zenos-paradox-debugging-weekend-pipermorgan-christian-crumlish-hqowc/,distributed,https://pipermorgan.ai/blog/the-zenos-paradox-of-debugging,/blog/the-zenos-paradox-of-debugging,,,,,"A robot taking aim with a bow, each arrow closing half the remaining distance to the target.",
The Debugging Cascade: A 90-Minute Journey Through Integration Hell,building,distributed,2025-07-07,,2025-07-31,https://medium.com/building-piper-morgan/the-debugging-cascade-a-90-minute-journey-through-integration-hell-7aaec260ede5,2025-08-18,https://www.linkedin.com/pulse/debugging-cascade-90-minute-journey-through-hell-christian-crumlish-9nvwc/,distributed,https://pipermorgan.ai/blog/the-debugging-cascade,/blog/the-debugging-cascade,,,,,"A robot weighed down by stacked overhead, illustrating how one integration failure triggers a chain of further problems.",
The Coordination Tax: When Copy-Paste Becomes Your Biggest Bottleneck,building,distributed,2025-07-08,,2025-07-31,https://medium.com/building-piper-morgan/the-coordination-tax-when-copy-paste-becomes-your-biggest-bottleneck-4e6f997a80cf,2025-08-19,https://www.linkedin.com/pulse/coordination-tax-when-copy-paste-becomes-your-biggest-crumlish-xeekc/,distributed,https://pipermorgan.ai/blog/the-coordination-tax,/blog/the-coordination-tax,,,,,"A robot juggling stone tablets, capturing the overhead of manually shuttling context between agents.",
7/8: Two-Fisted Coding: Wrangling Robot Programmers When You're Just a PM,building,distributed,2025-07-08,,2025-08-01,https://medium.com/building-piper-morgan/two-fisted-coding-wrangling-robot-programmers-when-youre-just-a-pm-c619de609a42,2025-08-20,https://www.linkedin.com/pulse/two-fisted-coding-wrangling-robot-programmers-when-youre-crumlish-ks5tc/,distributed,https://pipermorgan.ai/blog/two-fisted-coding-wrangling-robot-programmers-when-youre-just-a-pm,/blog/two-fisted-coding-wrangling-robot-programmers-when-youre-just-a-pm,,,,,"A rider steering two horses at once, representing a PM keeping paired AI agents pointed in one direction.",
"Three Bugs, One Victory: The Day We Finally Shipped PM-011",building,distributed,2025-07-12,,2025-08-01,https://medium.com/building-piper-morgan/three-bugs-one-victory-the-day-we-finally-shipped-pm-011-cc07dca2a5e9,2025-08-26,https://www.linkedin.com/pulse/three-bugs-one-victory-day-we-finally-shipped-pm-011-crumlish-oc3dc/,distributed,https://pipermorgan.ai/blog/three-bugs-one-victory,/blog/three-bugs-one-victory,,,,,"Three tangled threads converge into a single resolved line, representing bugs cleared on the path to shipping.",robot-weekend.webp
The AI Detective Squad: When Three Agents Solve One Mystery,building,distributed,2025-07-12,,2025-08-01,https://medium.com/building-piper-morgan/the-ai-detective-squad-when-three-agents-solve-one-mystery-987eb4c5cc42,2025-08-27,https://www.linkedin.com/pulse/ai-detective-squad-when-three-agents-solve-one-mystery-crumlish-plmfc/?published=t,distributed,https://pipermorgan.ai/blog/the-ai-detective-squad,/blog/the-ai-detective-squad,,,,,"Three robot detectives comparing clues, each bringing a different angle to crack one shared technical mystery.",
The Demo That Needed Documentation,building,distributed,2025-05-30,,2025-08-02,https://medium.com/building-piper-morgan/the-demo-that-needed-documentation-ccb351b91629,2025-08-02,https://www.linkedin.com/pulse/demo-needed-documentation-christian-crumlish-c4exc/,distributed,https://pipermorgan.ai/blog/the-demo-that-needed-documentation,/blog/the-demo-that-needed-documentation,,,,,"A robot caught off guard at a podium, a working demo undermined by the absence of supporting documentation.",
7/11: When Claude Took a Break (And Gemini Stepped In),building,distributed,2025-05-30,,2025-08-02,https://medium.com/building-piper-morgan/when-claude-took-a-break-and-gemini-stepped-in-922fd802460e,2025-08-02,https://www.linkedin.com/pulse/when-claude-took-break-gemini-stepped-christian-crumlish-txchc/,distributed,https://pipermorgan.ai/blog/when-claude-took-a-break-and-gemini-stepped-in,/blog/when-claude-took-a-break-and-gemini-stepped-in,,,,,A standby robot stepping forward from the wings to take over a role mid-performance without missing a beat.,
Chasing Rabbits (A Debugging Story),building,distributed,2025-05-31,,2025-08-03,https://medium.com/building-piper-morgan/chasing-rabbits-a-debugging-story-40f084dc3095,2025-08-03,https://www.linkedin.com/pulse/chasing-rabbits-debugging-story-christian-crumlish-bjzgc/,distributed,https://pipermorgan.ai/blog/chasing-rabbits-a-debugging-story,/blog/chasing-rabbits-a-debugging-story,,,,,"A robot pursuing a trail of rabbits, illustrating how one debugging lead multiplies into many.",
When Your AI Writes 500 Lines of Boilerplate (And Why That's Actually Useful),building,distributed,2025-05-31,,2025-08-03,https://medium.com/building-piper-morgan/when-your-ai-writes-500-lines-of-boilerplate-and-why-thats-actually-useful-084611e312ea,2025-08-03,https://www.linkedin.com/pulse/when-your-ai-writes-500-lines-boilerplate-why-thats-useful-crumlish-7bqjc/,distributed,https://pipermorgan.ai/blog/when-your-ai-writes-500-lines,/blog/when-your-ai-writes-500-lines,,,,,"A robot surrounded by detailed blueprints, generating structural scaffolding at scale.",
From 2% to 87%: The Great Test Suite Recovery,building,distributed,2025-07-13,,2025-08-04,https://medium.com/building-piper-morgan/from-2-to-87-the-great-test-suite-recovery-b7c3ef25cbdc,2025-08-28,https://www.linkedin.com/pulse/from-2-87-great-test-suite-recovery-christian-crumlish-otjac/,distributed,https://pipermorgan.ai/blog/from-2-to-87,/blog/from-2-to-87,,,,,"Robots in medical coats consulting over a patient, diagnosing a failing test suite and nursing it back to health.",
The Action Humanizer: Teaching AI to Speak Human,building,distributed,2025-07-13,,2025-08-04,https://medium.com/building-piper-morgan/the-action-humanizer-teaching-ai-to-speak-human-9fbbf6932838,2025-08-29,https://www.linkedin.com/pulse/action-humanizer-teaching-ai-speak-human-christian-crumlish-znyrc/,distributed,https://pipermorgan.ai/blog/the-action-humanizer,/blog/the-action-humanizer,,,,,"A robot mid-speech with a word bubble, translating mechanical output into natural human language.",
7/12: From Broken Tests to Perfect Architecture: The Great Cleanup of July 14,building,distributed,2025-07-14,,2025-08-04,https://medium.com/building-piper-morgan/from-broken-tests-to-perfect-architecture-the-great-cleanup-2575d3526323,2025-09-01,https://www.linkedin.com/pulse/from-broken-tests-perfect-architecture-great-cleanup-crumlish-yqiyc/?trackingId=k47Jvls8QuC4ZtS%2BkCLq0A%3D%3D,distributed,https://pipermorgan.ai/blog/712-713-715-chat,/blog/712-713-715-chat,,,,,"A robot tidying a cluttered workspace, restoring order so a clean architecture can take shape.",
7/12: When the Pupil Outsmarts the Teacher?,building,distributed,2025-07-15,,2025-08-05,https://medium.com/building-piper-morgan/when-the-pupil-outsmarts-the-teacher-the-day-piper-outgrew-its-tests-cde7eb0b6605,2025-09-02,https://www.linkedin.com/pulse/when-pupil-outsmarts-teacher-day-piper-outgrew-its-tests-crumlish-z8qtc/,distributed,https://pipermorgan.ai/blog/712-713-715-chat-2,/blog/712-713-715-chat-2,,,,,"A robot student surpassing the teacher, unexpected AI output outsmarting the human who set the task.",
7/16 chat: When Your Tests Lie: A Victory Disguised as Crisis,building,distributed,2025-07-16,,2025-08-05,https://medium.com/building-piper-morgan/when-your-tests-lie-a-victory-disguised-as-crisis-c70e69a245ea,2025-09-03,https://www.linkedin.com/pulse/when-your-tests-lie-victory-disguised-crisis-christian-crumlish-hqd6c/,distributed,https://pipermorgan.ai/blog/716-chat-3,/blog/716-chat-3,,,,,"A robot writing at a desk, documenting a session where a reported crisis turned out to be a hidden victory.",
